card enum|cardID|Act/section|Main body test|LeftOption|LeftNextCardID|LeftValue|RightOption|RightNextCardID|RightValue|Random
0|0|0|You can choose decisions by swiping left or right. Try swiping left!|Continue!|1||The other left!|||FALSE
1|1|0|Nice! Now try swiping right!|This is still left!|||Continue!|2||FALSE
2|2|0|Great work! This game is about your choices and values. Choose wisely!|Let's begin!|100||Wait... start the tutorial again!|0||FALSE
3|100|1|In this game you will be making key decisions which shapes the outcomes of various characters.|Continue|101||Continue|101||FALSE
4|101|1|It is late 2004. It is a calm Friday evening and you are tending to your baby son.|Continue|102||Continue|102||FALSE
5|102|1|You currently also 24 weeks into your pregnancy, when contractions begin spontaneously.|Continue|103||Continue|103||FALSE
6|103|1|You are rushed to hospital and another baby boy was born weighing 675g with a head circumference of 22cm.|Continue|104||Continue|104||FALSE
7|104|1|He was born vaginally but in breech position and was unresponsive.|Continue|105||Continue|105||FALSE
8|105|1|His APGAR was 2 for the first 5 minutes of life, and went to 3 at 10 minutes.|Continue|106||Continue|106||FALSE
9|106|1|He is rushed to NICU. A decision was made to intubate the boy.|Continue|107||Continue|107||FALSE
10|107|1|Despite the organized chaos of the delivery suite. Things have now settled and are quite.|I want to find my child.|108|Selflessness|I will go after a brief rest|108|Health|FALSE
11|108|1|As you walk into the bustling NICU environment, you were greeted by staff.|I want to be with my child.|109|Relationships|I shouldn't create trouble for the staff.|109|Patience|FALSE
12|109|1|You must be the parents of Travis. He is just over here.'|Go find Travis.|110||Go find Travis.|110||FALSE
13|110|1|Little Travis has been intubated and has a umbilical vein catheter.|What have you done to my baby?!'|111|Justice|How long will he need to be in here for?'|112|Trust|FALSE
14|111|1|We are doing everything we can to keep your baby healthy by providing oxygen and nutrients.'|I see... How long will he need to be in here for?'|112||I see... How long will he need to be in here for?'|112||FALSE
15|112|1|We...are not sure... it is too early to tell.'|I see...'|201,219,227||I see...'|201,219,227||TRUE
16|201|2|A week has passed and the medical team has growing concerns of Travis's vision.|Continue|202||Continue|202||FALSE
17|202|2|We would like have Travis reviewed in Christchurch.'|Go to Christchurch|204|Health|I need to prepare my commitments here first.|203|Finances|FALSE
18|203|2|Unfortuantely, Christchurch is the closest place which has the equipment to investigate Travis.'|Okay|204||Okay|204||FALSE
19|204|2|After a good 5 hour drive to Christchurch you arrive to the hospital.|Continue|205||Continue|205||FALSE
20|205|2|Christchurch hospital feels even more busy.|Enquire about an eye appointment.|207|Courage|Best not distrub the staff.|206|Patience|FALSE
21|206|2|No one seems to have noticed your presence.|Contiue waiting|206|Patience|Take the courage to ask.|207|Courage|FALSE
22|207|2|You have been told to wait for your appointment.|Take a seat|208||Take a seat|208||FALSE
23|208|2|The hospital continues to bustle and everything feels overwhelmingly new.|Continue to wait for your appointment.|210|Patience|Talk a walk to get some air|209|Health|FALSE
24|209|2|You take some time to check in with yourself, at least the fresh air is relaxing.|Go back|210||Go back|210||FALSE
25|210|2|Finally, your turn for a diagnosis. It feels like forever by now.|Continue|211||Continue|211||FALSE
26|211|2|Within 10 minutes, the doctor informs you of the diagnosis.|Continue|212||Continue|212||FALSE
27|212|2|This is a typical presentation of bilateral retinopathy of prematurity.'|Continue|213||Continue|213||FALSE
28|213|2|The doctor explains that this may cause Travis to be blind in one or both eyes.|Continue|215||Take a deep breath|214||FALSE
29|214|2|You feel cold air enter your body and leave as swiftly as it came.|Continue|215||Continue|215||FALSE
30|215|2|Complete with the appointment, you are unsure whether to drive back the same day.|Drive back tonight|216|Selflessness|Stay a night in Christchurch|217|Health|FALSE
31|216|2|The sun hasn't yet set. You decide to push through the news, only 5 hours to get home.|Drive home|218||Drive home|218||FALSE
32|217|2|It has been a long day already with little gain. Best leave tomorrow morning.|Rest|218||Rest|218||FALSE
33|218|2|Arriving back home. You long for a good rest.|Rest|301||Rest|301||FALSE
34|219|2|You notice that your baby's skin has a yellow-ish tint.|Inform someone|220|Courage|Probably just lighting|221|Patience|FALSE
35|220|2|A medical staff agrees that Travis has jaundice.|Continue|222||Continue|222||FALSE
36|221|2|After a few hours, a nurse informs you she has noticed that Travis is looking jaundiced.|Continue|222||Continue|222||FALSE
37|222|2|Travis is treated with phototherapy. Which is successful.|Continue|223||Continue|223||FALSE
